                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2962,                 1.4911,                 1.3649,                0.97175,                0.41299,                0.53129,                0.41549,                 1.5871,                 6.9246,                 1.4181,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.2909,                 1.3586,                 1.3129,                0.66936,                0.61694,                0.67798,                0.48203,                 1.5224,                 2.4734,                 1.3939,               0.072039,              0.0030386,              0.0030386
                      3,                   1.32,                 1.4069,                 1.3455,                0.77007,                0.61114,                0.57031,                0.37476,                 1.5454,                 3.5328,                 1.3561,               0.057514,              0.0045139,              0.0045139
                      4,                 1.3158,                  1.391,                  1.342,                0.43511,                0.66667,                0.46962,                0.38128,                 1.4855,                 2.8126,                 1.4108,               0.042926,              0.0059258,              0.0059258
                      5,                  1.299,                  1.479,                 1.3221,                 0.9094,                  0.125,                0.37253,                0.26626,                 1.7956,                 3.8052,                 1.4368,               0.028274,              0.0072743,              0.0072743
                      6,                 1.3128,                 1.4582,                 1.3561,                0.52613,                0.76957,                0.67326,                0.52404,                 1.4958,                 3.7448,                 1.3934,                0.01356,              0.0085595,              0.0085595
                      7,                 1.2856,                 1.4938,                 1.3448,                 0.4472,                    0.5,                0.58041,                0.45681,                 1.5611,                 2.8621,                 1.3922,               0.008812,               0.008812,               0.008812
