                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.93295,                0.82703,                 1.0478,                0.76617,                0.80712,                0.86768,                 0.6561,                 1.0526,                  1.416,                0.98704,              0.0082675,              0.0082675,              0.0082675
                     37,                0.82629,                 0.7708,                0.98113,                0.69789,                0.55556,                0.72267,                0.50834,                 1.1438,                 2.1874,                 1.0198,               0.008218,               0.008218,               0.008218
                     38,                0.86899,                0.80216,                 1.0197,                 0.7511,                0.72222,                0.71459,                0.39658,                  1.275,                 1.2815,                 1.0729,              0.0081685,              0.0081685,              0.0081685
                     39,                0.83885,                0.72544,                 0.9753,                0.68269,                0.72222,                0.83817,                0.62367,                 1.2233,                 1.3593,                 1.0694,               0.008119,               0.008119,               0.008119
                     40,                0.81215,                0.72716,                0.95712,                0.83306,                0.72222,                0.78298,                0.59325,                 1.0036,                 2.3507,                0.96456,              0.0080695,              0.0080695,              0.0080695
                     41,                0.83106,                0.74812,                0.98271,                0.87984,                0.72222,                0.78112,                0.61323,                 1.0379,                 1.5192,                0.99297,                0.00802,                0.00802,                0.00802
                     42,                0.87682,                  0.777,                 1.0104,                 0.8892,                0.72222,                 0.8097,                0.60165,                 1.0199,                  1.231,                 0.9793,              0.0079705,              0.0079705,              0.0079705
                     43,                0.84905,                0.74219,                 1.0135,                0.95759,                0.61111,                 0.7142,                0.54132,                0.98811,                 1.5767,                0.97106,               0.007921,               0.007921,               0.007921
                     44,                0.82497,                0.72621,                0.98552,                0.93153,                0.82062,                0.92442,                0.69992,                 1.1272,                 1.1182,                 1.0093,              0.0078715,              0.0078715,              0.0078715
                     45,                0.81846,                0.70698,                0.98272,                0.82403,                0.94444,                0.93277,                0.74837,                 1.0137,                 1.0135,                0.97191,               0.007822,               0.007822,               0.007822
                     46,                0.84189,                0.74359,                 1.0069,                0.97114,                0.66228,                0.82619,                 0.6786,                 1.0677,                 1.3344,                0.99346,              0.0077725,              0.0077725,              0.0077725
